CountryName,CountryCode,ปี1980,ปี1981,ปี1982,ปี1983,ปี1984,ปี1985,ปี1986,ปี1987,ปี1988,ปี1989,ปี1990,ปี1991,ปี1992,ปี1993,ปี1994,ปี1995,ปี1996,ปี1997,ปี1998,ปี1999,ปี2000,ปี2001,ปี2002,ปี2003,ปี2004,ปี2005,ปี2006,ปี2007,ปี2008,ปี2009,ปี2010,ปี2011,ปี2012,ปี2013,ปี2014,ปี2015,ปี2016,ปี2017,ปี2018,ปี2019,ปี2020,
Brunei,BRN,"4,929,000,000","4,366,000,000","4,264,000,000","3,845,000,000","3,783,000,000","4,419,000,000","2,695,000,000","3,095,000,000","2,946,000,000","3,304,000,000","3,896,000,000","4,096,000,000","4,631,000,000","4,543,000,000","4,523,000,000","5,239,000,000","5,661,000,000","5,750,000,000","4,482,000,000","5,090,000,000","6,641,000,000","6,198,000,000","6,466,000,000","7,256,000,000","8,711,000,000","10,547,000,000","12,645,000,000","13,432,000,000","15,926,000,000","11,913,000,000","13,707,000,000","18,525,000,000","19,047,000,000","18,092,000,000","17,098,000,000","12,931,000,000","11,399,000,000","12,128,000,000","13,568,000,000","13,470,000,000","12,003,000,000",
Indonesia,IDN,"99,296,000,000","110,848,000,000","113,799,000,000","103,149,000,000","107,218,000,000","107,062,000,000","101,220,000,000","95,214,000,000","107,279,000,000","122,582,000,000","138,258,000,000","154,558,000,000","168,280,000,000","190,913,000,000","213,727,000,000","244,227,000,000","274,722,000,000","260,680,000,000","115,323,000,000","169,158,000,000","179,482,000,000","174,507,000,000","212,807,000,000","255,428,000,000","279,556,000,000","310,815,000,000","396,293,000,000","470,144,000,000","558,582,000,000","577,539,000,000","755,256,000,000","892,590,000,000","919,002,000,000","916,646,000,000","891,051,000,000","860,741,000,000","932,066,000,000","1,015,490,000,000","1,042,710,000,000","1,120,040,000,000","1,059,640,000,000",
Cambodia,KHM,"716,000,000","783,000,000","831,000,000","902,000,000","980,000,000","1,059,000,000","205,000,000","141,000,000","276,000,000","346,000,000","899,000,000","2,011,000,000","2,439,000,000","2,427,000,000","2,765,000,000","3,441,000,000","3,507,000,000","3,443,000,000","3,130,000,000","3,513,000,000","3,667,000,000","3,992,000,000","4,289,000,000","4,665,000,000","5,334,000,000","6,287,000,000","7,268,000,000","8,630,000,000","10,342,000,000","10,391,000,000","11,232,000,000","12,818,000,000","14,057,000,000","15,228,000,000","16,702,000,000","18,083,000,000","20,043,000,000","22,208,000,000","24,599,000,000","27,088,000,000","25,192,000,000",
Lao,LAO,"1,913,000,000","1,118,000,000","1,119,000,000","2,047,000,000","2,930,000,000","3,685,000,000","2,577,000,000","1,815,000,000","1,182,000,000","1,460,000,000","1,742,000,000","2,053,000,000","2,354,000,000","2,652,000,000","3,081,000,000","3,579,000,000","3,726,000,000","3,515,000,000","1,334,000,000","1,415,000,000","1,720,000,000","1,757,000,000","1,844,000,000","2,259,000,000","2,649,000,000","3,049,000,000","3,915,000,000","4,757,000,000","5,948,000,000","6,431,000,000","7,504,000,000","8,963,000,000","10,195,000,000","11,974,000,000","13,266,000,000","14,363,000,000","15,905,000,000","17,055,000,000","18,131,000,000","18,771,000,000","18,820,000,000",
Myanmar,MMR,"5,905,000,000","5,939,000,000","6,072,000,000","6,259,000,000","6,455,000,000","6,607,000,000","5,001,000,000","4,924,000,000","4,517,000,000","4,866,000,000","5,189,000,000","5,326,000,000","5,974,000,000","6,486,000,000","7,119,000,000","7,764,000,000","8,415,000,000","9,043,000,000","5,154,000,000","6,439,000,000","7,736,000,000","7,131,000,000","6,921,000,000","8,881,000,000","10,754,000,000","12,126,000,000","13,585,000,000","17,855,000,000","25,470,000,000","30,864,000,000","38,084,000,000","53,916,000,000","59,000,000,000","60,903,000,000","63,153,000,000","62,655,000,000","60,090,000,000","61,267,000,000","66,699,000,000","68,802,000,000","81,257,000,000",
Malaysia,MYS,"26,757,000,000","27,321,000,000","29,278,000,000","32,745,000,000","37,087,000,000","34,090,000,000","30,303,000,000","34,529,000,000","37,845,000,000","41,678,000,000","47,236,000,000","53,514,000,000","64,424,000,000","72,858,000,000","81,121,000,000","96,750,000,000","109,839,000,000","109,098,000,000","78,609,000,000","86,203,000,000","102,149,000,000","101,054,000","109,833,000,000","120,025,000,000","135,869,000,000","150,345,000,000","170,412,000,000","202,733,000,000","241,763,000,000","211,854,000,000","258,641,000,000","302,184,000,000","318,910,000,000","327,869,000,000","342,868,000,000","301,355,000,000","301,255,000,000","319,109,000,000","358,789,000,000","365,279,000,000","337,008,000,000",
Philippines,PHL,"37,082,000,000","40,735,000,000","42,441,000,000","37,953,000,000","35,860,000,000","34,973,000,000","34,129,000,000","37,932,000,000","43,293,000,000","48,652,000,000","50,508,000,000","51,784,000,000","60,422,000,000","62,037,000,000","73,159,000,000","86,644,000,000","94,650,000,000","94,106,000,000","74,492,000,000","85,640,000,000","83,667,000,000","78,921,000,000","84,307,000,000","87,039,000,000","95,002,000,000","107,422,000,000","127,653,000,000","155,980,000,000","181,007,000,000","176,132,000,000","208,369,000,000","234,217,000,000","261,920,000,000","283,903,000,000","297,484,000,000","306,446,000,000","318,627,000,000","328,481,000,000","346,842,000,000","376,823,000,000","361,489,000,000",
Singapore,SGP,"12,082,000,000","14,367,000,000","15,879,000,000","18,011,000,000","19,563,000,000","18,573,000,000","18,780,000,000","21,629,000,000","26,551,000,000","31,436,000,000","38,892,000,000","45,465,000,000","52,131,000,000","60,604,000,000","73,689,000,000","87,813,000,000","96,293,000,000","100,124,000,000","85,728,000,000","86,287,000,000","96,077,000,000","89,794,000,000","92,538,000,000","97,646,000,000","115,034,000,000","127,808,000,000","148,627,000,000","180,942,000,000","193,617,000,000","194,150,000,000","239,808,000,000","279,357,000,000","295,093,000,000","307,576,000,000","314,864,000,000","307,999,000,000","318,753,000,000","343,332,000,000","375,963,000,000","374,390,000,000","339,981,000,000",
Thailand,THA,"33,422,000,000","35,999,000,000","37,799,000,000","41,366,000,000","43,179,000,000","40,185,000,000","44,520,000,000","52,204,000,000","63,704,000,000","74,637,000,000","88,467,000,000","101,247,000,000","115,576,000,000","128,889,000,000","146,684,000,000","169,279,000,000","183,035,000,000","150,180,000,000","113,676,000,000","126,539,000,000","126,132,000,000","120,105,000,000","134,177,000,000","152,142,000,000","172,752,000,000","189,084,000,000","221,579,000,000","263,007,000,000","290,970,000,000","281,399,000,000","340,928,000,000","370,929,000,000","397,722,000,000","420,364,000,000","407,373,000,000","401,142,000,000","413,497,000,000","456,523,000,000","506,403,000,000","544,210,000,000","501,712,000,000",
Vietnam,VNM,"35,357,000,000","17,617,000,000","23,369,000,000","35,204,000,000","61,171,000,000","19,045,000,000","43,009,000,000","53,385,000,000","29,501,000,000","7,991,000,000","8,217,000,000","9,704,000,000","12,528,000,000","16,736,000,000","20,712,000,000","26,407,000,000","31,352,000,000","34,146,000,000","34,580,000,000","36,444,000,000","39,585,000,000","41,297,000,000","44,563,000,000","50,233,000,000","62,877,000,000","73,197,000,000","84,301,000,000","98,426,000,000","124,756,000,000","129,022,000,000","143,212,000,000","171,312,000,000","195,169,000,000","212,728,000,000","232,888,000,000","236,795,000,000","252,146,000,000","277,071,000,000","303,091,000,000","327,873,000,000","343,114,000,000",
